© Leibniz-Institut für Deutsche Sprache, Mannheim
COSMAS II-Server, C2API-Version 4.20.6 - 06.08.2021

 
Datum         : Montag, den 13. September 2021, 21:16:58
Archiv        : W - Archiv der geschriebenen Sprache
Korpus        : W-öffentlich - alle öffentlichen Korpora des Archivs W (mit Neuakquisitionen)
Archiv-Release: Deutsches Referenzkorpus DeReKo-2021-I
Suchanfrage   : #REG(^[A-ZÄÖÜ][a-zäöüß]+_in(nen)?$)
Suchoptionen  : Ei+Ri+Di, Flex
Ergebnis      : 3.152 Treffer

 
Suchbegriff-Expansionslisten (alphab. aufsteigend)

Liste zu:  #REG(^[A-ZÄÖÜ][a-zäöüß]+_in(nen)?$)  : 847 Wortformen, alphab. aufsteigend

Optionen:
Groß-/Klein. ignorieren, diacr. Zeich. ignorieren

Abolitionist_innen              :   2 (  0.06%)
Abonnent_innen                  :   2 (  0.06%)
Absender_innen                  :   1 (  0.03%)
Absolvent_innen                 :   3 (  0.10%)
Abtreibungsgeger_innen          :   1 (  0.03%)
Abtreibungsgegner_innen         :  12 (  0.38%)
Actionheld_in                   :   1 (  0.03%)
Afrikaner_innen                 :   4 (  0.13%)
Afroamerikaner_innen            :   1 (  0.03%)
Afrokubaner_innen               :   1 (  0.03%)
Agent_innen                     :   2 (  0.06%)
Akademiker_innen                :   8 (  0.25%)
Akteur_innen                    :  20 (  0.63%)
Aktionskünstler_innen           :   1 (  0.03%)
Aktivisten_innen                :   1 (  0.03%)
Aktivist_In                     :   1 (  0.03%)
Aktivist_in                     :   4 (  0.13%)
Aktivist_Innen                  :   3 (  0.10%)
Aktivist_innen                  : 110 (  3.49%)
aktivist_innen                  :   1 (  0.03%)
Alevit_innen                    :   1 (  0.03%)
all_in                          :   1 (  0.03%)
Altaktivist_innen               :   1 (  0.03%)
Altenwerder_innen               :   2 (  0.06%)
Altertumswissenschaftler_innen  :   1 (  0.03%)
Altonaer_innen                  :   2 (  0.06%)
Amerikaner_innen                :   1 (  0.03%)
Anarchisten_innen               :   1 (  0.03%)
Anarchist_innen                 :   5 (  0.16%)
Anarchonationalisten_innen      :   1 (  0.03%)
Anarchosyndikalisten_innen      :   1 (  0.03%)
Anarchosyndikalist_innen        :   1 (  0.03%)
ANFÄNGER_INNEN                  :   1 (  0.03%)
Anführer_innen                  :   1 (  0.03%)
Anhänger_innen                  :  12 (  0.38%)
anhänger_innen                  :   1 (  0.03%)
Anleger_innen                   :   1 (  0.03%)
Ansprechpartner_innen           :   1 (  0.03%)
Antifaschist_innen              :  10 (  0.32%)
antifeminist_innen              :   1 (  0.03%)
antifeminit_innen               :   1 (  0.03%)
antiklassist_innen              :   1 (  0.03%)
Antimafiaaktivist_innen         :   1 (  0.03%)
