Abenteurer,Abenteurer*innen,,,,,,,,,,,,,,,,,,,,,,,,
Abenteureren,Abenteurer*innen,,,,,,,,,,,,,,,,,,,,,,,,
Abiturient,Abiturient*innen,Abitur ablegende Person,"Person, die Abitur macht",,,,,,,,,,,,,,,,,,,,,,
Abnehmer,Abnehmer*innen,Abnehmende,Abnehmerinnen und Abnehmer,Abnehmerinnen und Abnehmern,,,,,,,,,,,,,,,,,,,,,
Abnehmeren,Abnehmer*innen,,,,,,,,,,,,,,,,,,,,,,,,
Abonnent,Abonnent*innen,Followers,Abonnierende,Follis,ein Abonnement beziehende Person,Bezugsperson,Abonnement-Beziehende,medienbeziehende Person,Abonnentinnen und Abonnenten,,,,,,,,,,,,,,,,
Absender,Absender*innen,abgesandt durch ...,absendende Person,von ... ,gesendet von,,,,,,,,,,,,,,,,,,,,
Absenderen,Absender*innen,,,,,,,,,,,,,,,,,,,,,,,,
Absolvent,Absolvent*innen,Absolventen*innen,Abschluss innehabende Person,Person mit Abschluss,Absolventinnen und Absolventen,,,,,,,,,,,,,,,,,,,,
Abteilungsleiter,Abteilungsleiter*innen,Abteilungsleitungen,Abteilungsleitende,Abteilungsleiterinnen und Abteilungsleiter,Abteilungsleiterinnen und Abteilungsleitern,Abteilungsleitung,,,,,,,,,,,,,,,,,,,
Abteilungsleiteren,Abteilungsleiter*innen,,,,,,,,,,,,,,,,,,,,,,,,
Abtreibungsgegner,Abtreibungsgegner*innen,,,,,,,,,,,,,,,,,,,,,,,,
Abtreibungsgegneren,Abtreibungsgegner*innen,,,,,,,,,,,,,,,,,,,,,,,,
Adbuster,Adbuster*innen,,,,,,,,,,,,,,,,,,,,,,,,
Adbusteren,Adbuster*innen,,,,,,,,,,,,,,,,,,,,,,,,
Adressat,Adressat*innen,adressierte Person,an ... ,beauftragte Firma,,,,,,,,,,,,,,,,,,,,,
Afghan,Afghan*innen,,,,,,,,,,,,,,,,,,,,,,,,
Afrikaner,Afrikaner*innen,,,,,,,,,,,,,,,,,,,,,,,,
Afrikaneren,Afrikaner*innen,,,,,,,,,,,,,,,,,,,,,,,,
Afroamerikaner,Afroamerikaner*innen,,,,,,,,,,,,,,,,,,,,,,,,
Afroamerikaneren,Afroamerikaner*innen,,,,,,,,,,,,,,,,,,,,,,,,
Agent,Agent*innen,Agentinnen und Agenten,,,,,,,,,,,,,,,,,,,,,,,
Ägypter,Ägypter*innen,,,,,,,,,,,,,,,,,,,,,,,,
Akademiker,Akademiker*innen,Studierte,Personen mit Hochschulabschluss,,,,,,,,,,,,,,,,,,,,,,
Akademikeren,Akademiker*innen,,,,,,,,,,,,,,,,,,,,,,,,
Akteur,Akteur*innen,Beteiligte,Agierende,Handelnde,Aktive,Akteurinnen und Akteure,,,,,,,,,,,,,,,,,,,
Aktionär,Aktionär*innen,Person mit Aktienbesitz,Aktien-/Anteilshabende,,,,,,,,,,,,,,,,,,,,,,
Aktivist,Aktivisten*innen,Aktivist*innen,politisch aktive Menschen,engagierte Person,engagierte Personen,politisch aktiver Mensch,zielstrebig Handelnde,,,,,,,,,,,,,,,,,,
Aktivst,Aktivst*innen,,,,,,,,,,,,,,,,,,,,,,,,
Albaner,Albaner*innen,,,,,,,,,,,,,,,,,,,,,,,,
Albaneren,Albaner*innen,,,,,,,,,,,,,,,,,,,,,,,,
Alevit,Alevit*innen,,,,,,,,,,,,,,,,,,,,,,,,
Aleviten,Alevit*innen,,,,,,,,,,,,,,,,,,,,,,,,
Algerier,Algerier*innen,,,,,,,,,,,,,,,,,,,,,,,,
Algerieren,Algerier*innen,,,,,,,,,,,,,,,,,,,,,,,,
Allergiker,Allergiker*innen,Menschen mit Allergie,Allergiegeplagte,allergieleidende Personen,,,,,,,,,,,,,,,,,,,,,
Allergikeren,Allergiker*innen,,,,,,,,,,,,,,,,,,,,,,,,
Altonaer,Altonaer*innen,,,,,,,,,,,,,,,,,,,,,,,,
Altonaeren,Altonaer*innen,,,,,,,,,,,,,,,,,,,,,,,,
Amerikaner,Amerikaner*innen,Amerikanerinnen und Amerikanern,Amerikanerinnen und Amerikaner,,,,,,,,,,,,,,,,,,,,,,
Amerikaneren,Amerikaner*innen,,,,,,,,,,,,,,,,,,,,,,,,
Amtsinhaber,Amtsinhaber*innen,,,,,,,,,,,,,,,,,,,,,,,,
Amtsinhaberen,Amtsinhaber*innen,,,,,,,,,,,,,,,,,,,,,,,,
Amtskolleg,Amtskolleg*innen,,,,,,,,,,,,,,,,,,,,,,,,
Amtsträger,Amtsträger*innen,,,,,,,,,,,,,,,,,,,,,,,,
Amtsträgeren,Amtsträger*innen,,,,,,,,,,,,,,,,,,,,,,,,
Analyst,Analyst*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anarchist,Anarchist*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anbieter,Anbieter*innen,Angebot (von ...),Herstellung,Anbietende,,,,,,,,,,,,,,,,,,,,,
Anbieteren,Anbieter*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anfänger,Anfänger*innen,Unerfahrene,Menschen ohne Vorkenntnisse,Menschen ohne Vorerfahrung,Beginnende,Neulinge,,,,,,,,,,,,,,,,,,,
Anfängeren,Anfänger*innen,,,,,,,,,,,,,,,,,,,,,,,,
Angler,Angler*innen,Angelnde,,,,,,,,,,,,,,,,,,,,,,,
Angleren,Angler*innen,,,,,,,,,,,,,,,,,,,,,,,,
Angreifer,Angreifer*innen,Angreifende,,,,,,,,,,,,,,,,,,,,,,,
Angreiferen,Angreifer*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anhänger,Anhänger*innen,Fans,Begeisterte,Gleichgesinnte,Unterstützende,Sympathisierende,"sich (einer Bewegung, einem Verein) Zuordnende",Zugehörige (einer Bewegung),Mitwirkende,Befürwortende,Anhängerinnen und Anhängern,Anhängerinnen und Anhänger,,,,,,,,,,,,,
Anhängeren,Anhänger*innen,,,,,,,,,,,,,,,,,,,,,,,,
Ankläger,Ankläger*innen,anklagende Person,"Person, die Anklage erhebt","Person, die anklagt",,,,,,,,,,,,,,,,,,,,,
Anklägeren,Ankläger*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anleger,Anleger*innen,Anlegende,Anlegerinnen und Anleger,Anlegerinnen und Anlegern,,,,,,,,,,,,,,,,,,,,,
Anlegeren,Anleger*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anlieger,Anlieger*innen,Anliegende,anwohnende Personen,Anwohnende,,,,,,,,,,,,,,,,,,,,,
Anliegeren,Anlieger*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anmelder,Anmelder*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anmelderen,Anmelder*innen,,,,,,,,,,,,,,,,,,,,,,,,
Ansprechpartner,Ansprechpartner*innen,Ansprechperson; Kontakt,,,,,,,,,,,,,,,,,,,,,,,
Ansprechpartneren,Ansprechpartner*innen,,,,,,,,,,,,,,,,,,,,,,,,
Antifaschist,Antifaschist*innen,,,,,,,,,,,,,,,,,,,,,,,,
Antirassist,Antirassist*innen,,,,,,,,,,,,,,,,,,,,,,,,
Antirassisten,Antirassist*innen,,,,,,,,,,,,,,,,,,,,,,,,
Antisemit,Antisemit*innen,antisemitisch eingestellte Person,,,,,,,,,,,,,,,,,,,,,,,
Antragsteller,Antragsteller*innen,Antrag gestellt von,ich beantrage,,,,,,,,,,,,,,,,,,,,,,
Antragstelleren,Antragsteller*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anwält,Anwält*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anwärter,Anwärter*innen,Person im Vorbereitungsdienst,Anwärterinnen und Anwärtern,Anwärterinnen und Anwärter,,,,,,,,,,,,,,,,,,,,,
Anwärteren,Anwärter*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anwender,Anwender*innen,Nutzende,Anwendende,"Personen, die ... anwenden",Anwendung,Anwenderinnen und Anwender,Anwenderinnen und Anwendern,,,,,,,,,,,,,,,,,,
Anwenderen,Anwender*innen,,,,,,,,,,,,,,,,,,,,,,,,
Anwohner,Anwohner*innen,"alle, die in dieser Straße wohnen",Anwohnende,Nachbarschaft,,,,,,,,,,,,,,,,,,,,,
Anwohneren,Anwohner*innen,,,,,,,,,,,,,,,,,,,,,,,,
Apotheker,Apotheker*innen,(approbierte) Arzneikundige,approbierte pharmazeutische Fachkräfte,Apothekerinnen und Apotheker,Apothekerinnen und Apothekern,,,,,,,,,,,,,,,,,,,,
Apothekeren,Apotheker*innen,,,,,,,,,,,,,,,,,,,,,,,,
Arbeiter,Arbeiter*innen,Erwerbstätige,Belegschaft,Beschäftigte,Arbeitskräfte,Arbeiterinnen und Arbeiter,Arbeiterinnen und Arbeitern,,,,,,,,,,,,,,,,,,
