Abenteurer,Abenteurer*in,Waghals,abenteuerliebende Person,abenteuerlustige Person,abenteuermutige Person,Abenteuermensch,,,,,,,,,,,
Abiturient,Abiturient*in,Abitur ablegende Person,"Person, die Abitur macht",,,,,,,,,,,,,,
Abnehmer,Abnehmer*in,Abnehmerin und Abnehmer,,,,,,,,,,,,,,,
Abonnent,Abonnent*in,Followers,Abonnierende,Follis,ein Abonnement beziehende Person,Bezugsperson,Abonnement-Beziehende,medienbeziehende Person,Abonnentin und Abonnent,,,,,,,,
Absender,Absender*in,gesendet von,Absenderin bzw. Absender,,,,,,,,,,,,,,
Absolvent,Absolvent*in,Absolventen*in,Absolventin und Absolvent,,,,,,,,,,,,,,
Abteilungsleiter,Abteilungsleiter*in,Abteilungsleitung,Abteilungsleiterin bzw. Abteilungsleiter,,,,,,,,,,,,,,
Abtreibungsgegner,Abtreibungsgegner*in,,,,,,,,,,,,,,,,
Adbuster,Adbuster*in,,,,,,,,,,,,,,,,
Adressat,Adressat*in,adressierte Person,an ... ,beauftragte Firma,,,,,,,,,,,,,
Afghan,Afghan*in,,,,,,,,,,,,,,,,
Afrikaner,Afrikaner*in,,,,,,,,,,,,,,,,
Afroamerikaner,Afroamerikaner*in,,,,,,,,,,,,,,,,
Agent,Agent*in,Agentin und Agent,,,,,,,,,,,,,,,
Ägypter,Ägypter*in,,,,,,,,,,,,,,,,
Akademiker,Akademiker*in,,,,,,,,,,,,,,,,
Akteur,Akteur*in,Akteurin und Akteur,,,,,,,,,,,,,,,
Aktionär,Aktionär*in,Person mit Aktienbesitz,Aktien-/Anteilshabende,,,,,,,,,,,,,,
Aktivist,Aktivist*in,Aktivisten*in,politisch aktive Menschen,engagierte Person,engagierte Personen,politisch aktiver Mensch,zielstrebig Handelnde,,,,,,,,,,
Aktivst,Aktivst*in,,,,,,,,,,,,,,,,
Albaner,Albaner*in,,,,,,,,,,,,,,,,
Alevit,Alevit*in,,,,,,,,,,,,,,,,
Algerier,Algerier*in,,,,,,,,,,,,,,,,
Allergiker,Allergiker*in,,,,,,,,,,,,,,,,
Altonaer,Altonaer*in,,,,,,,,,,,,,,,,
Amerikaner,Amerikaner*in,Amerikanerin und Amerikaner,,,,,,,,,,,,,,,
Amtsinhaber,Amtsinhaber*in,Amt innehabende Person,eine mit einem Amt betraute Person,amtierende Person im Bereich XY/ in Position XY,amtsverantwortliche Person für den Bereich XY,,,,,,,,,,,,
Amtskolleg,Amtskolleg*in,,,,,,,,,,,,,,,,
Amtsträger,Amtsträger*in,,,,,,,,,,,,,,,,
Analyst,Analyst*in,Analystin bzw. Analyst,,,,,,,,,,,,,,,
Anarchist,Anarchist*in,,,,,,,,,,,,,,,,
Anbieter,Anbieter*in,Angebot (von ...),Herstellung,angebotsstellende Person,angebotsmachende Person,Anbietende,,,,,,,,,,,
Anfänger,Anfänger*in,,,,,,,,,,,,,,,,
Angler,Angler*in,angelnde Person,Fisch fangende Person,Angelsport betreibende Person,Mensch mit Angel,"wer gern angelt, ... ","Person, die angelt",Angelmensch,,,,,,,,,
Angreifer,Angreifer*in,angreifende Person,,,,,,,,,,,,,,,
Anhänger,Anhänger*in,Anhängerin bzw. Anhänger,,,,,,,,,,,,,,,
Ankläger,Ankläger*in,anklagende Person,"Person, die Anklage erhebt","Person, die anklagt",,,,,,,,,,,,,
Anleger,Anleger*in,Anlegerin und Anleger,,,,,,,,,,,,,,,
Anlieger,Anlieger*in,anwohnende Person,,,,,,,,,,,,,,,
Anmelder,Anmelder*in,,,,,,,,,,,,,,,,
Ansprechpartner,Ansprechpartner*in,Ansprechperson,Kontakt,Kontaktperson,Auskunft gibt ... ,zuständig ist ... ,Hotline,Hilfeteam,Service,Servicepersonal,Ansprechpartnerin bzw. Ansprechpartner,Ansprechperson; Kontakt,,,,,
Antifaschist,Antifaschist*in,,,,,,,,,,,,,,,,
Antirassist,Antirassist*in,,,,,,,,,,,,,,,,
Antisemit,Antisemit*in,antisemitisch eingestellte Person,,,,,,,,,,,,,,,
Antragsteller,Antragsteller*in,beantragende Person/Einrichtung,"die Person, die einen Antrag stellt",die antragstellende Person,Antrag gestellt von ... ,Antrag gestellt von,ich beantrage,Antragstellerin bzw. Antragsteller,,,,,,,,,
Anwält,Anwält*in,,,,,,,,,,,,,,,,
Anwärter,Anwärter*in,Person im Vorbereitungsdienst,Anwärterin und Anwärter,,,,,,,,,,,,,,
Anwender,Anwender*in,Anwenderin und Anwender,,,,,,,,,,,,,,,
Anwohner,Anwohner*in,Anwohnende,Nachbarschaft,Anwohnerin bzw. Anwohner,,,,,,,,,,,,,
Apotheker,Apotheker*in,Apothekerin bzw. Apotheker,Apothekerin und Apotheker,,,,,,,,,,,,,,
Arbeiter,Arbeiter*in,Arbeitskraft,Arbeiterin bzw. Arbeiter,,,,,,,,,,,,,,
Arbeitgeber,Arbeitgeber*in,Führungskraft,arbeitgebendes Unternehmen,"Person, die Arbeitsplätze zur Verfügung stellt",Arbeitsstelle ... ,Arbeitgeberin und Arbeitgeber,Organisation der Arbeitsgebenden,Arbeitgebende; Betriebe; Unternehmen,,,,,,,,,
Arbeitnehmer,Arbeitnehmer*in,angestellte Person,beschäftigte Person,Arbeitnehmerin bzw. Arbeitnehmer,,,,,,,,,,,,,
Arbeitnehmervertreter,Arbeitnehmervertreter*in,Arbeitnehmendenvertretung,Betriebsrat,Personalrat,Beschäftigtenvertretung,,,,,,,,,,,,
Arbeitskolleg,Arbeitskolleg*in,,,,,,,,,,,,,,,,
Arbeitsmigrant,Arbeitsmigrant*in,,,,,,,,,,,,,,,,
Architekt,Architekt*in,Architekten*in,Architekturschaffende Person,Baukunstgestaltende Person,Architektin und Architekt,,,,,,,,,,,,
Argentinier,Argentinier*in,,,,,,,,,,,,,,,,
Armenier,Armenier*in,,,,,,,,,,,,,,,,
Artgenoss,Artgenoss*in,,,,,,,,,,,,,,,,
Artist,Artist*in,,,,,,,,,,,,,,,,
Ärzt,Ärzt*in,,,,,,,,,,,,,,,,
Asiat,Asiat*in,,,,,,,,,,,,,,,,
Assistent,Assistent*in,Assistenz,Assistentin bzw. Assistent,Assistentin und Assistent,,,,,,,,,,,,,
Astronaut,Astronaut*in,Weltraumreisende,Menschen im All,ins Weltall reisende Person,,,,,,,,,,,,,
Astronom,Astronom*in,Astronomin und Astronom,,,,,,,,,,,,,,,
Asylbewerber,Asylbewerber*in,,,,,,,,,,,,,,,,
Atheist,Atheist*in,atheistische Person,religionsfreie Person,nichtgläubige Person,irreligiöse Person,glaubenslose Person,areligiöse Person,,,,,,,,,,
Athlet,Athlet*in,Athleten*in,Sporttreibende,sporttreibende Person,Wettkämpfende,Athletin und Athlet,,,,,,,,,,,
Atomkraftgegner,Atomkraftgegner*in,,,,,,,,,,,,,,,,
Aufklärer,Aufklärer*in,,,,,,,,,,,,,,,,
Auftraggeber,Auftraggeber*in,Auftraggeberin bzw. Auftraggeber,,,,,,,,,,,,,,,
Ausbilder,Ausbilder*in,ausbildender Betrieb,Lehrkraft,,,,,,,,,,,,,,
Ausdauersportler,Ausdauersportler*in,,,,,,,,,,,,,,,,
Ausflügler,Ausflügler*in,,,,,,,,,,,,,,,,
Ausländer,Ausländer*in,Person aus dem Ausland,Person nichtdeutscher Herkunft,ausländische Person,Person mit anderer Staatsangehörigkeit,,,,,,,,,,,,
Auslandskorrespondent,Auslandskorrespondent*in,,,,,,,,,,,,,,,,
Außenminister,Außenminister*in,,,,,,,,,,,,,,,,
Aussteiger,Aussteiger*in,,,,,,,,,,,,,,,,
Aussteller,Aussteller*in,ausstellende Person,ausstellende Institution,Ausstellerin und Aussteller,,,,,,,,,,,,,
Auswanderer,Auswanderer*in,auswandernde Person,ausgewanderte Person,,,,,,,,,,,,,,
Autobesitzer,Autobesitzer*in,,,,,,,,,,,,,,,,
Autofahrer,Autofahrer*in,Auto fahrende Person,Auto führende Person,Person am Steuer,Autofahrerin und Autofahrer,,,,,,,,,,,,
Autor,Autor*in,Autoren*in,bücherschreibende Person,Autorin und Autor,,,,,,,,,,,,,
Bademeister,Bademeister*in,Badeaufsicht,Bademeisterin und Bademeister,,,,,,,,,,,,,,
Bahnfahrer,Bahnfahrer*in,,,,,,,,,,,,,,,,
Bahnpendler,Bahnpendler*in,,,,,,,,,,,,,,,,
Barkeeper,Barkeeper*in,Bar-Servicekraft,Servicekraft (an) der Bar,,,,,,,,,,,,,,
Bauarbeiter,Bauarbeiter*in,Bauarbeiten ausführendes (Fach-)Personal,Bauarbeiterin und Bauarbeiter,,,,,,,,,,,,,,
Bäuer,Bäuer*in,,,,,,,,,,,,,,,,
Bauingenieur,Bauingenieur*in,für die Baukonstruktion verantwortliche Person,für die Bauplanung verantwortliche Person,Bauingenieurin bzw. Bauingenieur,,,,,,,,,,,,,
Baumpirat,Baumpirat*in,,,,,,,,,,,,,,,,
Bayer,Bayer*in,,,,,,,,,,,,,,,,
Beamt,Beamt*in,,,,,,,,,,,,,,,,
Befürworter,Befürworter*in,befürwortende Person,zustimmende Person,Zustimmung,,,,,,,,,,,,,
Begleiter,Begleiter*in,Begleitung,Begleiterin und Begleiter,,,,,,,,,,,,,,
Behördenmitarbeiter,Behördenmitarbeiter*in,,,,,,,,,,,,,,,,
Beiträger,Beiträger*in,,,,,,,,,,,,,,,,
Beitragszahler,Beitragszahler*in,,,,,,,,,,,,,,,,
Belaruss,Belaruss*in,,,,,,,,,,,,,,,,
Beobachter,Beobachter*in,,,,,,,,,,,,,,,,
Berater,Berater*in,beratende Person,die Beratung erfolgt durch ... ,Sie werden beraten von ... ,Beraterin bzw. Berater,Beratung,es berät Sie,Sie werden beraten von,,,,,,,,,
Berichterstatter,Berichterstatter*in,Bericht erstattende Person,,,,,,,,,,,,,,,
Berliner,Berliner*in,,,,,,,,,,,,,,,,
Berufspendler,Berufspendler*in,,,,,,,,,,,,,,,,
Berufspolitiker,Berufspolitiker*in,,,,,,,,,,,,,,,,
Berufsrichter,Berufsrichter*in,,,,,,,,,,,,,,,,
Berufsschüler,Berufsschüler*in,,,,,,,,,,,,,,,,
Beschwerdeführer,Beschwerdeführer*in,,,,,,,,,,,,,,,,
Besetzer,Besetzer*in,,,,,,,,,,,,,,,,
Besitzer,Besitzer*in,besitzhabende Person,im Besitz von,Besitzerin bzw. Besitzer,,,,,,,,,,,,,
Bestatter,Bestatter*in,Fachkraft für Bestattungen,,,,,,,,,,,,,,,
Besucher,Besucher*in,Besucherin bzw. Besucher,,,,,,,,,,,,,,,
Betrachter,Betrachter*in,Betrachtende,,,,,,,,,,,,,,,
Betreiber,Betreiber*in,Betriebsgesellschaft,betreibende Firma,Betrieb,,,,,,,,,,,,,
Betreuer,Betreuer*in,Betreuungsperson,Betreuerin bzw. Betreuer,,,,,,,,,,,,,,
Betrüger,Betrüger*in,unehrliche Person,,,,,,,,,,,,,,,
Bewahrer,Bewahrer*in,bewahrende Person,,,,,,,,,,,,,,,
Bewerber,Bewerber*in,sich bewerbende Person,Bewerberin bzw. Bewerber,,,,,,,,,,,,,,
Bewohner,Bewohner*in,Bewohnerin bzw. Bewohner,,,,,,,,,,,,,,,
Bezirksvertreter,Bezirksvertreter*in,,,,,,,,,,,,,,,,
Bildhauer,Bildhauer*in,Bildhauerin und Bildhauer,,,,,,,,,,,,,,,
Bildungsforscher,Bildungsforscher*in,,,,,,,,,,,,,,,,
Bildungsminister,Bildungsminister*in,,,,,,,,,,,,,,,,
Bildungspolitiker,Bildungspolitiker*in,,,,,,,,,,,,,,,,
Bildungsverlierer,Bildungsverlierer*in,,,,,,,,,,,,,,,,
Biolog,Biolog*in,,,,,,,,,,,,,,,,
Blockierer,Blockierer*in,,,,,,,,,,,,,,,,
Blogger,Blogger*in,,,,,,,,,,,,,,,,
Booker,Booker*in,,,,,,,,,,,,,,,,
Botschafter,Botschafter*in,Spitze des Diplomatischen Corps, Repräsentanz,,,,,,,,,,,,,,
Branchenvertreter,Branchenvertreter*in,,,,,,,,,,,,,,,,
Brandenburger,Brandenburger*in,,,,,,,,,,,,,,,,
Brandstifter,Brandstifter*in,,,,,,,,,,,,,,,,
Brasilianer,Brasilianer*in,,,,,,,,,,,,,,,,
Bremer,Bremer*in,,,,,,,,,,,,,,,,
Bremerhavener,Bremerhavener*in,,,,,,,,,,,,,,,,
Briefschreiber,Briefschreiber*in,,,,,,,,,,,,,,,,
Brit,Brit*in,,,,,,,,,,,,,,,,
Buchhalter,Buchhalter*in,Buchhalterin bzw. Buchhalter,,,,,,,,,,,,,,,
Buchhändler,Buchhändler*in,,,,,,,,,,,,,,,,
Bühnenarbeiter,Bühnenarbeiter*in,,,,,,,,,,,,,,,,
Bühnenkünstler,Bühnenkünstler*in,,,,,,,,,,,,,,,,
Bulgar,Bulgar*in,,,,,,,,,,,,,,,,
Bundesbürger,Bundesbürger*in,,,,,,,,,,,,,,,,
Bundespolitiker,Bundespolitiker*in,,,,,,,,,,,,,,,,
Bündnispartner,Bündnispartner*in,,,,,,,,,,,,,,,,
Bürger,Bürger*in,Mitglied des Staates / der Stadt,dem Staat zugehörige Person,Mitmensch,Individuum,Einzelperson,einzelner Mensch innerhalb der Bevölkerung,Bürgerin bzw. Bürger,Bevölkerung,,,,,,,,
Bürgermeister,Bürgermeister*in,Stadtoberhaupt,Verwaltungsleitung,Oberhaupt einer Kommune,Bürgermeisterin bzw. Bürgermeister,,,,,,,,,,,,
Bürgerrechtler,Bürgerrechtler*in,,,,,,,,,,,,,,,,
Busfahrer,Busfahrer*in,Busführung,busführende Person,Busfahrpersonal,Buspersonal,,,,,,,,,,,,
Campbewohner,Campbewohner*in,,,,,,,,,,,,,,,,
Camper,Camper*in,campende Person,zeltende Person,Zeltplatzmensch,Camping liebende Person,,,,,,,,,,,,
Chef,Chef*in,vorgesetzte Person,Leitungsperson,Leitung,Kopf (eines Unternehmens / einer Abteilung),Führungskraft,Chefin bzw. Chef,,,,,,,,,,
Chines,Chines*in,,,,,,,,,,,,,,,,
Chirurg,Chirurg*in,chirurgische Fachperson,chirurgisches Fachpersonal,ärztliche Fachkraft der ...-Chirurgie,chirurgische Fachkraft,Chirurgin bzw. Chirurg,,,,,,,,,,,
Choreograf,Choreograf*in,,,,,,,,,,,,,,,,
Christ,Christ*in,Christen*in,Menschen christlichen Glaubens,,,,,,,,,,,,,,
Christdemokrat,Christdemokrat*in,,,,,,,,,,,,,,,,
Cineast,Cineast*in,,,,,,,,,,,,,,,,
Clubbetreiber,Clubbetreiber*in,,,,,,,,,,,,,,,,
Clubgänger,Clubgänger*in,,,,,,,,,,,,,,,,
Coronaleugner,Coronaleugner*in,,,,,,,,,,,,,,,,
Coronapatient,Coronapatient*in,,,,,,,,,,,,,,,,
Coronaskeptiker,Coronaskeptiker*in,,,,,,,,,,,,,,,,
Crowdworker,Crowdworker*in,,,,,,,,,,,,,,,,
Darsteller,Darsteller*in,darstellende Person,,,,,,,,,,,,,,,
Datenschützer,Datenschützer*in,,,,,,,,,,,,,,,,
Dealer,Dealer*in,,,,,,,,,,,,,,,,
Demokrat,Demokrat*in,Demokratiebegeisterte,Demokratieüberzeugte,,,,,,,,,,,,,,
Demokratieaktivist,Demokratieaktivist*in,,,,,,,,,,,,,,,,
Demonstrant,Demonstrant*in,Demonstranten*in,Demonstrierende,,,,,,,,,,,,,,
Demonstrationsteilnehmer,Demonstrationsteilnehmer*in,,,,,,,,,,,,,,,,
Denker,Denker*in,,,,,,,,,,,,,,,,
Depp,Depp*in,,,,,,,,,,,,,,,,
Designer,Designer*in,,,,,,,,,,,,,,,,
Deutschtürk,Deutschtürk*in,,,,,,,,,,,,,,,,
Dezernent,Dezernent*in,Dezernat leitende Person,Dezernentin bzw. Dezernent,,,,,,,,,,,,,,
Diabetiker,Diabetiker*in,,,,,,,,,,,,,,,,
Digitalarbeiter,Digitalarbeiter*in,,,,,,,,,,,,,,,,
Diplomat,Diplomat*in,,,,,,,,,,,,,,,,
Direktkandidat,Direktkandidat*in,,,,,,,,,,,,,,,,
Direktor,Direktor*in,Institutsleitung,Direktorin bzw. Direktor,,,,,,,,,,,,,,
Diskutant,Diskutant*in,,,,,,,,,,,,,,,,
Doktorand,Doktorand*in,Promovierende,,,,,,,,,,,,,,,
Dolmetscher,Dolmetscher*in,(simultan / konsekutiv) dolmetschende Fachkraft,Dolmetscherin bzw. Dolmetscher,,,,,,,,,,,,,,
Dorfbewohner,Dorfbewohner*in,,,,,,,,,,,,,,,,
Dortmunder,Dortmunder*in,,,,,,,,,,,,,,,,
Dozent,Dozent*in,Dozenten*in,Lehrkraft,Seminarleitung,Lehrende,Lehrperson,vortragende Person,Dozierende,Lehrpersonal,lehrende Person,Dozentin bzw. Dozent,,,,,,
Dramatiker,Dramatiker*in,,,,,,,,,,,,,,,,
Drehbuchautor,Drehbuchautor*in,,,,,,,,,,,,,,,,
Drittklässler,Drittklässler*in,,,,,,,,,,,,,,,,
Ehepartner,Ehepartner*in,geehelichte Person,Ehemensch,,,,,,,,,,,,,,
Ehrenamtler,Ehrenamtler*in,,,,,,,,,,,,,,,,
Eigentümer,Eigentümer*in,(im) Eigentum von ... ,(im) Eigentum von,Eigentümerin bzw. Eigentümer,,,,,,,,,,,,,
Eigner,Eigner*in,s. Eigentümer,,,,,,,,,,,,,,,
Einkäufer,Einkäufer*in,,,,,,,,,,,,,,,,
Einwander,Einwander*in,,,,,,,,,,,,,,,,
Einwanderer,Einwanderer*in,Einwanderin bzw. Einwanderer,,,,,,,,,,,,,,,
Einwohner,Einwohner*in,Einwohnerin und Einwohner,Population,Wohnbevölkerung,,,,,,,,,,,,,
Einzelhändler,Einzelhändler*in,Person des Einzelhandels,Betrieb im Einzelhandel,im Einzelhandel tätige Person,,,,,,,,,,,,,
Elektriker,Elektriker*in,Fachkraft für Elektrotechnik,Elektrikerin bzw. Elektriker,,,,,,,,,,,,,,
Elektroniker,Elektroniker*in,Elektrofachkraft,,,,,,,,,,,,,,,
Elftklässler,Elftklässler*in,,,,,,,,,,,,,,,,
Elternvertreter,Elternvertreter*in,,,,,,,,,,,,,,,,
Empfänger,Empfänger*in,empfangsberechtigte Person,empfangen von ... ,für ... ,bestimmt für ... ,bestimmt für,Empfängerin bzw. Empfänger,empfangen von,,,,,,,,,
Enkel,Enkel*in,Enkelkind,Kindeskind,,,,,,,,,,,,,,
Entertainer,Entertainer*in,,,,,,,,,,,,,,,,
Entscheider,Entscheider*in,Entscheidung fällende Person,entscheidungsbefugte Person,,,,,,,,,,,,,,
