ungendered,gendered
Abbrecherquote,Abbruchquote
Abenteurer (sg.),Waghals; abenteuerliebende Person; abenteuerlustige Person; abenteuermutige Person; Abenteuermensch
Abgänger,absolvierende Person; Abschluss innehabende Person
Abiturient,"Abitur ablegende Person; Person, die Abitur macht"
Abkömmling,abstammende Person; nachkommende Person; Kind; Kindeskind; Person gleicher Abstammung
Abnehmer (pl.),Abnehmende
Abonnent,Bezugsperson; medienbeziehende Person; ein Abonnement beziehende Person
Abonnenten,Abonnement-Beziehende; Abonnierende; Followers; Follis
Absender (sg./pl.),abgesandt durch ...; absendende Person; von ... 
Absolventen (pl.),"<div class=""tooltip"">Alumni [themify_icon icon=""fas fa-info-circle"" icon_color=""#9ec1a3""]<span class=""tooltiptext"">eig. auch generisches Maskulinum im Lateinischen</span> </div>; Abschluss innehabende Person; Person mit Abschluss"
Absolventenpraktikum,Praktikum (direkt) nach Studienabschluss
Abteilungsleiter (sg.),Abteilungsleitung
Absolventenvorsprechen [Schauspielschule],"<a href=""https://geschicktgendern.de/kontakt""> noch kein passender Begriff gefunden; senden Sie Ihren Vorschlag über das Kontaktformular (klick) </a>"
Abteilungsleiter (pl.),Abteilungsleitungen; Abteilungsleitende
Abteilungsleitertreffen,Treffen der Abteilungsleitungen; Treffen der Leitungsebene
Administrator,Administration; Admin
Administratoren,Administration; Admins; Administrierende
Adressat,adressierte Person; an ... 
Adressatenkreis,Zielgruppe
Agent [Spion],auskundschaftende Person; spionierende Person
Agent [Sport-/Kunst-/...-Agent],jemanden/etwas vermittelnde Person
Agentenfilm,Spionagefilm
Agententhriller,Spionagethriller
Ahnen (pl.),[dieser Begriff ist im Plural bereits genderneutral: sg. die Ahne (f.) oder der Ahne (m.) -> pl. die Ahnen (f.) und die Ahnen (m.)]
Akademiker (pl.),Studierte; Personen mit Hochschulabschluss
Akteure (pl.),Beteiligte; Agierende; Handelnde; Aktive
Akteursnetzwerk,Netzwerk von Engagierten; Netzwerk von Aktiven
Aktionär,Person mit Aktienbesitz
Aktionäre,Aktien-/Anteilshabende
Aktionärsversammlung,Versammlung von Personen mit Aktienbesitz; Versammlung von Anteilshabenden
Aktivist,engagierte Person; politisch aktiver Mensch
Aktivisten,engagierte Personen; politisch aktive Menschen; zielstrebig Handelnde
Alkoholiker (sg.),alkoholsüchtige Person; Person mit Alkoholsucht
Alkoholiker (pl.),Alkoholsüchtige; Menschen mit Alkoholsucht
Alleinerziehende (sg.),Ein-Eltern-Haushalt; Ein-Eltern-Familie; alleinerziehende Person
Alleinerziehende (pl.),[im Plural ist dieses Wort schon gendergerecht]
Allergiker (pl.),Menschen mit Allergie; Allergiegeplagte; allergieleidende Personen
Alleskönner,Multitalent; Universalgenie; vielseitig begabter Mensch
Allgemeinmediziner,Allgemeinmedizin praktizierende Person
Alltagshelden,Tag versüßende Personen; Ehrenamtliche; Zivilcourage leistende Personen
Alltagshelfer,Alltagshilfe
Alpinisten,bergsteigende Personen; bergbesteigende Personen; Bergsteigende; Bergkletternde
Älpler (pl.),Alpwirtschaft Betreibende
Altenpfleger,Pflegefachkraft; Pflegefachperson; Altenpflegeperson; Krankenpflegeperson; Fachkraft für Altenpflege
Altersgenossen,gleich Alte; Menschen derselben Altersgruppe; Gleichaltrige; Peer group
Ältestenrat,"[dieses Wort ist schon gendergerecht; wer sich unter dem Begriff dennoch eine Rat aus Männern, kann diese Alternativen verwenden: Senat; Rat weiser Menschen; Rat der Erfahrenen; Beratungsgruppe der ältesten Menschen; Gremium der ältesten Menschen; Senioritätsrat]"
Altkanzler (pl.),ehemalige Regierungsoberhäupter
Alumni,Ehemalige
Amateur,Neuling; Person ohne Vorkenntnisse
Amateure,Anfangende; Beginnende
Ampelmännchen,"Ampelfiguren; Ampelfigürchen; Ampelmenschlein (<a href=""https://geschicktgendern.de/ampelfrauen-und-ampelpaerchen/"">s. auch Blog (klick)</a>)"
Amtsinhaber (sg.),Amt innehabende Person; eine mit einem Amt betraute Person; amtierende Person im Bereich XY/ in Position XY; amtsverantwortliche Person für den Bereich XY
Analphabet,"leseunfähige Person; leseunkundige Person; Person ohne Lesefähigkeit; des Lesens nicht mächtige Person; des Lesens unkundige Person; Person, die nicht lesen und schreiben kann"
Analytiker (pl.),Analysierende
