Laenge,Hauptwort,Vorschlag,Binnen
50,Verantwortlicher für Informationssicherheit (CISO),CISO,N
50,Verantwortlicher für Informationssicherheit (CISO),Verantwortliche bzw. Verantwortlicher für Informationssicherheit,N
45,Diplomierte Gesundheits- und Krankenschwester,Diplomiertes Krankenpflegepersonal,N
43,Unabhängiger Bedienstetenschutzbeauftragter,Unabhängige Bedienstetenschutzbeauftragte bzw. unabhängiger beauftragter,N
39,Kontrakt- und Berichtswesenbeauftragter,Kontrakt- und Berichtswesenbeauftragte bzw. -beauftragter,N
38,Leitender Kindertagesheimadministrator,Leitende Kindertagesheimadministratorin bzw. Leitender Kindertagesheimadministrator,N
37,Fragen Sie Ihren Arzt oder Apotheker.,Holen Sie sich ärztlichen oder pharmazeutischen Rat.,N
34,diensthabender Hausinspektorenarzt,diensthabende Hausinspektorenärztin bzw. diensthabender Hausinspektorenarzt,N
31,Administrationsbereich Benutzer,Administrationsbereich BenutzerInnen,Y
31,Administrationsbereich Benutzer,Administrationsbereich Benutzerinnen und Benutzer,N
31,Gesundheits- und Krankenpfleger,Gesundheits- und KrankenpflegerInnen,Y
31,Gesundheits- und Krankenpfleger,Gesundheits- und Krankenschwester bzw. -pfleger,N
31,Technischer Kanzleibediensteter,Technische Kanzleibedienstete bzw. technischer Kanzleibediensteter,N
30,Bedienstetenschutzbeauftragter,Bedienstetenschutzbeauftragte bzw. -beauftragter,N
30,IT-Sicherheitsverantwortlicher,IT-Sicherheitsverantwortliche bzw. -verantwortlicher,N
30,Leitender Diplomsozialarbeiter,Leitende Diplomsozialarbeiterin bzw. leitender Diplomsozialarbeiter,N
30,verantwortlicher CMS-Redakteur,verantwortliche CMS-Redaktion,N
30,wissenschaftlicher Mitarbeiter,wissenschaftliche Mitarbeiterin bzw. wissenschaftlicher Mitarbeiter,N
29,Angebot für private Bauherren,Angebot für privat Bauende,N
29,Diplomierte Physiotherapeutin,Diplomierte Physiotherapeutin bzw. Diplomierter Physiotherapeut,N
29,Frauengesundheitsbeauftragter,Frauengesundheitsbeauftragte bzw. -beauftragter,N
29,Geschäftsgruppenkoordinatoren,GeschäftsgruppenkoordinatorInnen,Y
29,wissenschaftliche Mitarbeiter,wissenschaftliche MitarbeiterInnen,Y
28,Diplomierte Sozialarbeiterin,Diplomierte Sozialarbeiterin bzw. Diplomierter Sozialarbeiter,N
28,Gleichbehandlungsbeauftragte,Gleichbehandlungsbeauftragte bzw. -beauftragter,N
28,IP-Adressen-Verantwortlicher,IP-Adressen-Verantwortliche bzw. -Verantwortlicher,N
28,Zwischenablage des Benutzers,Zwischenablage der BenutzerInnen,Y
28,Zwischenablage des Benutzers,Zwischenablage der Benutzerinnen und Zwischenablage der Benutzer,N
27,Adresse des Antragsstellers,Adresse,N
27,Adresse des Antragsstellers,Adresse der AntragstellerInnen,Y
27,Alleinverdienerabsetzbetrag,Absetzbetrag für AlleinverdienderInnen,N
27,Bezirksseniorenbeauftragter,Bezirksseniorenbeauftragte bzw. -beauftragter,N
27,Biomedizinischer Analytiker,Biomedizinische Analytikerin bzw. Biomedizinischer Analytiker,N
27,Diplomierte Ergotherapeutin,Diplomierte Ergotherapeutin bzw. Diplomierter Ergotherapeut,N
27,Diplomierter Sozialarbeiter,Diplomierte Sozialarbeiterin bzw. Diplomierter Sozialarbeiter,N
27,Geschäftsgruppenkoordinator,Geschäftsgruppenkoordinatorin bzw. -koordinator,N
27,IKT-Sicherheitsbeauftragter,IKT-Sicherheitsbeauftrage bzw. -beauftragter,N
27,Leitender Stationsassistent,Leitende Stationsassistentin bzw. leitender Stationsassistent,N
27,Userverwaltungsberechtigter,Userverwaltungsberechtigte bzw. -berechtigter,N
27,Zentraler PUMA Beauftragter,Zentrale PUMA Beauftragte bzw. Zentraler PUMA Beauftragter,N
27,Ziviltechnikerangelegenheit,Angelegenheit für ZiviltechnikerInnen,Y
26,Biomedizinische Analytiker,Biomedizinische AnalytikerInnen,Y
26,Brandschutzansprechpartner,Brandschutzansprechpartnerin bzw. -ansprechpartner,N
26,Brandschutzansprechpartner,BrandschutzansprechpartnerInnen,Y
26,Dezentrale Administratoren,Dezentrale AdministratorInnen,Y
26,diensthabender Journalarzt,diensthabende Journalärztin bzw. diensthabender Journalarzt,N
26,Dienststellenadministrator,Dienststellenadministration,N
26,Diplomierte Sozialarbeiter,Diplomierte SozialarbeiterInnen,Y
26,Diplomierter Ergotherapeut,Diplomierte Ergotherapeutin bzw. Diplomierter Ergotherapeut,N
26,Karthographischer Zeichner,Karthographische Zeichnerin bzw. karthographischer Zeichner,N
26,Karthographischer Zeichner,Karthographische ZeichnerInnen,Y
26,Kindertagesheiminspektorin,Kindertagesheiminspektorin bzw.- inspektor,Y
26,Querschnittsbereichsleiter,Querschnittsbereichsleiterin bzw. -bereichsleiter,N
26,Unterstützung des Kollegen,kollegiale Unterstützung,N
25,Dezentraler Administrator,Dezentrale Administratorin bzw. Administrator,N
25,Dritter Landtagspräsident,Dritte Landtagspräsidentin bzw. dritter Landtagspräsident,N
25,etwas an den Mann bringen,etwas unter die Leute bringen,N
25,etwas an den Mann bringen,etwas verkaufen,N
25,etwas an den Mann bringen,ein Anliegen loswerden,N
25,Geschäftsabteilungsleiter,Geschäftsabteilungsleiterin bzw. - leiter,N
25,Geschäftsabteilungsleiter,GeschäftsabteilungsleiterInnen,Y
25,Kinder- und Jugendanwälte,Kinder- und JugendanwältInnen,Y
25,Kinder- und Jugendanwälte,Kinder- und Jugendanwaltschaft,N
25,Kundendienststellenleiter,Kundendienststellenleiterin bzw. -leiter,N
25,Leitender Rechtsfürsorger,Leitende Rechtsfürsorgerin bzw. leitender Rechtsfürsorger,N
25,Leitender Rechtsvertreter,Leitende Rechtsvertreterin bzw. leitender Rechtsvertreter,N
